ID,Subsystem,Part,Exact model,Specification,Quantity,Supplier,URL,Unit price INR,Total INR,Price basis,Availability,Weight kg (each),Alternative,Alternative price INR,Reason selected,Status,Evidence,Date checked,Phase
JX1-013,Legs,Needle bearings,N2K HK0810,8×12×10 drawn-cup needle bearing,8,bearinghouse.in,https://bearinghouse.in/shop/n2k-hk0810-needle-roller-bearing/,35.4,283,incl. GST,In stock,0.004,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-014,Legs,Ankle crank,JX1_AnkleCrank,"6061 6 mm plate, CNC/laser, pilot recess",4,Local CNC / laser,,600,2400,ESTIMATED,Quote required,0.05,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-015,Legs,Rod-end bearings,N2K POS5 / PHS5 (M5),"M5 rod end, female/male",8,bearinghouse.in,https://bearinghouse.in/shop/n2k-pos5-rod-end-bearing/,141.6,1133,incl. GST,In stock,0.02,THK POS5,1769,10x cheaper than THK; RS06 peak 36 N·m / 50 mm crank = 720 N rod force vs 5.73 kN static rating (IKO PHS5/POS5) -> SF 8,PLANNED,VERIFIED,2026-09-24,1
JX1-016,Legs,Push-rods,Robu 1000 mm Ø8 chrome-plated smooth rod (SKU 501422),"cut 2 × 183 + 2 × 95 mm (ball-centre lengths per CAD), ends tapped M5 × 12 for POS5 male rod ends",1,Robu,https://robu.in/product/1000-mm-long-chrome-plated-smooth-rod-diameter-8-mm/,330,330,incl. GST,In stock,0.39,,,"M5 threaded rod buckles at ≈ 730 N (rod A, 183 mm) — below the 720 N RS06-peak rod force x 3 buckling margin; Ø8 solid: P_cr ≈ 12 kN (SF 17), calculations/results/structural",PLANNED,VERIFIED,2026-09-24,1
JX1-017,Legs,Foot (L/R),JX1_Foot,"6061-T6 8 mm sole (laser-cut) + bolted clevis tines + rod posts, ~0.5 kg",2,Laser/CNC job shop,https://roboconcnc.com/prototype-cnc-machining,1500,3000,ESTIMATED: 3-axis CNC $20-38/h (Robocon CNC blog) + plate ₹380-400/kg median (IndiaMART); quote required,Quote required,0.5,,,FEA: printed PA-CF SF 0.74/0.33 (ankle-torque-capped loads),PLANNED,VERIFIED,2026-09-24,1
JX1-018,Legs,Sole pad material,4 mm rubber anti-skid mat (cut),4 mm rubber,1,Moglix,https://www.moglix.com/forgesy-4-mm-rubber-anti-skid-yoga-mat/mp/msn8kl2wp0rr5v,548,548,incl. GST,In stock,0.1,"TPU 95A printed sole (Elegoo ₹1,399/kg)",400,,PLANNED,VERIFIED,2026-09-24,1
JX1-019,Legs,Foot contact sensors,SOUSHINE FSR406,"39.7 mm FSR, 20 g-10 kg",8,Robu,https://robu.in/product/soushine-fsr406-short-tail-39-7-mm-39-7-mm-force-sensing-shunt-resistor-20g10kg/,379,3032,incl. GST,In stock,0.003,,,4 per foot for CoP estimation,OPTIONAL,VERIFIED,2026-09-24,2
JX1-020,Legs,Leg fasteners & inserts,Unbrako SHCS M3/M4/M5 packs + Quartz M3 heat-set inserts,per robot allowance,1,IndustryBuying / Quartz,https://www.industrybuying.com/dowel-pin-unbrako-FAM257317,3000,3000,"ESTIMATED from pack prices (₹211-530 per 100 SHCS, ₹33-70 per 10 inserts)",In stock (30-day lead on Unbrako),0.3,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-021,Pelvis,Pelvis torsion box,JX1_Pelvis,"6061-T6 laser-cut plates (top 6, walls/bottom 4 mm) + tapped 8×8 corner bars, ~1.1 kg",1,Laser/CNC job shop,https://roboconcnc.com/prototype-cnc-machining,3000,3000,ESTIMATED: 3-axis CNC $20-38/h (Robocon CNC blog) + plate ₹380-400/kg median (IndiaMART); quote required,Quote required,1.1,,,FEA: printed PA-CF SF 0.89/0.74; 6061 8 mm 5.49/6.73 -> 6/4 mm plates,PLANNED,VERIFIED,2026-09-24,1
JX1-022,Pelvis,IMU,7Semi BNO085 Nano breakout,"9-DOF fusion IMU, SPI/I2C",1,Evelta,https://evelta.com/7semi-bno085-9-dof-orientation-imu-fusion-nano-breakout/,2094.5,2094,incl. GST,In stock (21),0.005,SmartElex BNO085 (Robu),2409,"on-chip fusion, 400 Hz rotation vector",PLANNED,VERIFIED,2026-09-24,1
JX1-023,Electronics,High-level computer,"Waveshare JETSON-NANO-DEV-KIT (Nano 4 GB module, 16 GB eMMC, 64 GB card)","4× A57, 128-core Maxwell, 4 GB",1,ThinkRobotics,https://thinkrobotics.com/products/thinkrobotics-jetson-nano-dev-kit-sub,30899.99,30900,incl. GST,In stock,0.25,"Jetson Orin Nano Super dev kit (upgrade path, native CAN)",49999.99,brief mandates Jetson Nano; adequate for 50 Hz RL policy + vision (research B.2),PLANNED,VERIFIED,2026-09-24,1
JX1-024,Electronics,Real-time CAN hub MCU,PJRC Teensy 4.1,"i.MX RT1062 600 MHz, 3× CAN (1× CAN-FD)",2,Robu,https://robu.in/product/buy-teensy-4-1-development-board/,3539,7078,incl. GST,In stock,0.01,"WeAct STM32H743 core (2× FDCAN, Probots ₹3,999)",3999,"6 CAN buses total: 2 per leg (≤ 3 joints each) + 1 per arm; 500 Hz joint exchange, watchdogs, E-stop monitor",PLANNED,VERIFIED,2026-09-24,1
JX1-025,Electronics,CAN transceivers,NXP TJA1462AT (SOIC-8),CAN/CAN-FD 8 Mbit/s SIC transceiver,8,Sharvi Electronics,https://sharvielectronics.com/product/tja1462at-0z-can-fd-signal-improvement-transceiver-with-standby-mode-ic-soic-8-package/,120.78,966,incl. GST (₹102.36 ex),In stock,0.001,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-026,Electronics,CAN hub carrier PCB,"JX1 hub board (2× Teensy, 6× transceiver, E-stop input, 5 V/12 V rails)","2-layer 100×100 mm, 5 pcs",1,Lion Circuits,https://lioncircuits.com/quote,2215,2215,"incl. GST (₹1,877 ex, public calculator)",~5 days,0.05,PCB Power,5210,cheapest verified Indian fab,PLANNED,VERIFIED,2026-09-24,1
JX1-027,Electronics,Bench USB-CAN adapter,Waveshare USB-CAN-A,CAN 2.0A/B up to 1 Mbps,1,Robu,https://robu.in/product/usb-to-can-adapter-model-a-stm32-chip-solution-multiple-working-modes-multi-system-compatible/,2189,2189,incl. GST,In stock,0.03,"MKS CANable V2 (Probots ₹3,899)",3899,actuator bring-up / diagnostics,PLANNED,VERIFIED,2026-09-24,1
JX1-028,Electronics,CAN / power harness,"JST-GH 1.25 2-4 pin leads, twisted pair, XT30 pairs",per robot,1,Probots / Robokits / Quartz,https://probots.co.in,3500,3500,"ESTIMATED from ₹25-42 GH leads, ₹40-65 XT pairs, ₹35-199 /m silicone wire",In stock,0.4,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-029,Electronics,Wi-Fi card,Intel AC8265 for Jetson Nano,802.11ac + BT,1,Robocraze,https://robocraze.com/search?q=AC8265,2200,2200,incl. GST,In stock,0.01,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-030,Power,Li-ion cells,Samsung INR21700-50S,"5.0 Ah, 45 A pulse / 25 A cont., 69 g",28,Robokits,https://robokits.co.in/batteries-chargers/samsung-premium-li-ion-battery/3.7v-samsung-li-ion-batteries/samsung-21700-5000mah-inr21700-50s-45a-9c-li-ion-battery-original,363.44,10176,incl. GST (₹308 ex),In stock,0.069,Molicel P45B (Robokits ₹481),481,"13S2P = 468 Wh, 50 A cont. vs 23 A peak demand; ₹20/Wh (26 + 2 spare)",PLANNED,VERIFIED,2026-09-24,1
JX1-031,Power,BMS,JBD SP14S004 smart BMS 10-14S 40 A,"13S configured, Bluetooth, precharge-capable",1,lionbattery.in,https://lionbattery.in/shop/shop/battery-bms/jbd-nmc-bms-hardware/,2199,2199,incl. GST,In stock (10),0.08,"Daly smart 13S 60 A (lionbattery ₹3,499)",3499,,PLANNED,VERIFIED,2026-09-24,1
JX1-032,Power,Pack build + test service,lionbattery.in pack/BMS test service,"spot welding, capacity test",1,lionbattery.in,https://lionbattery.in,2000,2000,ESTIMATED from published service price,Service,0.1,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-033,Power,Battery connector,Amass XT90-S anti-spark pair,90 A,1,Robokits,https://robokits.co.in/batteries-chargers/plugs-and-connectors/amass-xt90s-anti-spark-connectors-male-female-pair-original,212.4,212,incl. GST,In stock,0.02,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-034,Power,Motor-bus main switch,Flipsky Anti-Spark Switch Smart Enhanced 300A V2.0,"12-84 V, 100 A cont., remote-able",1,Technobotix,https://www.technobotix.in/products/flipsky-anti-spark-switch-smart-enhanced-300a-v2-0/1781252000001361046,7499,7499,incl. GST,In stock,0.12,custom MOSFET switch on hub PCB,1500,E-stop-controlled motor bus disconnect with precharge (no low-cost DC contactor in Indian retail),PLANNED,VERIFIED,2026-09-24,1
JX1-035,Power,Emergency stop,Schneider XB2BS8442C,"40 mm mushroom, twist release, 1NC",1,Moglix,https://www.moglix.com/schneider-electric-xb2bs8442c-emergency-stop-mushroom-head-40mm-harmony-xb2-22mm-1nc-red/mp/msnr50n3q8x251,399,399,incl. GST,In stock,0.08,LANBOO E-stop (Robu ₹374),374,,PLANNED,VERIFIED,2026-09-24,1
JX1-036,Power,Branch fuses,Littelfuse 0891030.NXS 30 A 58 V ATO,58 V rated (suits 54.6 V bus),4,Tanotis,https://www.tanotis.com/products/littelfuse-0891030-nxs-auto-blade-fuse-30a-58v,87.96,352,incl. GST + duty,Available,0.003,,,one per limb bus (32 V car fuses are NOT rated for 13S),PLANNED,VERIFIED,2026-09-24,1
JX1-037,Power,Fuse holders,"30 A inline ATO holder, 12 AWG",,4,lionbattery.in,https://lionbattery.in/shop/shop/batteries-accessories/connectors/30a-inline-fuse-holder-with-12awg-wire-200mm-heavy-duty-fuse-cable/,190,760,incl. GST (₹161 ex),In stock (4),0.02,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-038,Power,Jetson 5 V supply,Mean Well DDR-60L-5,"18-75 V in, 5 V 10.8 A isolated",1,IndustryBuying,https://www.industrybuying.com/industrial-automation-accessories-mean-well-IND.IND.330812914,4247,4247,incl. GST,Ships in 15 days,0.18,6.5-60 V 10 A synchronous buck (ElectronicsComp ₹447),447,"isolated, brand-name supply for the computer",PLANNED,VERIFIED,2026-09-24,1
JX1-039,Power,12 V auxiliary supply,6.5-60 V → adjustable 10 A synchronous buck,"neck servos, fans",1,ElectronicsComp,https://www.electronicscomp.com/48v-36v-24v-to-19v-12v-9v-5v-3v-adjustable-synchronous-step-down-module-car-charging-power-supply,447.22,447,incl. GST,In stock (8),0.05,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-040,Power,Charger,54.6 V 6 A Li-ion charger (13S),,1,Quartz Components,https://quartzcomponents.com,3315,3315,listed price (GST basis not stated),In stock,0.8,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-041,Torso,Torso frame + battery bay,JX1_Torso,"6061-T6 laser-cut plates (bottom 5, sides/deck/back 4, tray 3 mm) + 4× 2020 extrusion posts, ~2.4 kg",1,Laser/CNC job shop + Robokits 2020,https://roboconcnc.com/prototype-cnc-machining,3000,3000,ESTIMATED: ~1.6 kg plate at ₹380-400/kg (IndiaMART median) + laser cutting/tapping + ₹341/m 2020 extrusion; quote required,Quote required,2.4,,,FEA: 6061 SF 4.44/3.59; printed PA-CF 0.70/0.42 fails (calculations/results/structural),PLANNED,VERIFIED,2026-09-24,2
JX1-042,Arms,"Arm structures (shoulder-pitch U-bracket, shoulder-roll L-bracket, upper arm, forearm) ×2",JX1_ShoulderPitchBracket / ShoulderRollBracket / UpperArm / Forearm,"6061-T6 laser-cut 5-10 mm plates (upper arm 10/8 mm + gussets), bolted, ~2.0 kg both arms",1,Laser/CNC job shop,https://roboconcnc.com/prototype-cnc-machining,6000,6000,"ESTIMATED: 8 laser-cut/drilled plate parts, plate ₹380-400/kg + cutting; quote required",Quote required,2.0,,,"FEA 6061 SF: shoulder pitch 2.17/1.75, shoulder roll 2.05/1.66, upper arm 5.99/4.84, forearm 3.27/2.65; every PA-CF print variant fails (static 0.23-1.23 vs 2.0 required)",PLANNED,VERIFIED,2026-09-24,2
JX1-043,Arms,Simple grippers ×2,JX1 parallel-jaw gripper (RS00-sized servo or bus servo),,2,In-house + Robu servo,,3500,7000,ESTIMATED,Phase 3,0.25,,,,DEFERRED,VERIFIED,2026-09-24,3
JX1-044,Head,Neck servos,Waveshare ST3215 serial bus servo,"19.5 kg·cm @ 7.4 V, 12-bit encoder",2,Robu,https://robu.in/product/waveshare-st3215-serial-bus-servo/,2159,4318,incl. GST,In stock,0.055,"Genuine Feetech STS3215 (Amazon.in ₹4,415 each)",4415,,PLANNED,VERIFIED,2026-09-24,2
JX1-045,Head,Bus-servo driver,SmartElex serial bus servo driver board,,1,Robu,https://robu.in/,509,509,incl. GST,In stock,0.02,,,,PLANNED,VERIFIED,2026-09-24,2
JX1-046,Head,Stereo camera,Waveshare IMX219-83 stereo,"2× 8 MP, 83° FOV, CSI",1,Robu,https://robu.in/product/waveshare-imx219-83-stereo-camera-8mp-binocular-camera-module-depth-vision/,6399,6399,incl. GST,In stock,0.04,"IMX219-77 mono (ThinkRobotics ₹1,700)",1700,,PLANNED,VERIFIED,2026-09-24,2
JX1-047,Head,Head shell + neck brackets,JX1 head,FDM PETG-CF ~0.3 kg (~12 h),1,In-house Bambu P1S,CAD/Head,180,180,ESTIMATED print time @ ₹15/h,Make,0.3,,,,PLANNED,VERIFIED,2026-09-24,2
JX1-048,Manufacturing,PA-CF filament,eSUN PA-CF 1.75 mm 1 kg,"neck bracket, grippers, small brackets (all structural parts are aluminium after FEA)",1,3Idea,https://www.3idea.in/product-detail/esun-pa-cf-3d-printing-filament-black-1-75mm-net-weight-1kg,4799,4799,listed price,In stock,1.0,"Numakers PETG-CF (≈₹1,356/kg incl.)",1356,stiffness/heat resistance near actuators; printed-part rows carry print time only,PLANNED,VERIFIED,2026-09-24,1
JX1-049,Manufacturing,PETG-CF filament,Numakers PETG-CF 1 kg,"covers, head, battery box; PETG fit-check copies of the metal parts before ordering (~1.5 kg, ESTIMATED)",4,Numakers / 3D Master India,https://3dmasterindia.in/product/petg-carbon-fiber-1-75mm/,1356,5424,"incl. GST (≈₹1,149 ex)",In stock,1.0,,,,PLANNED,VERIFIED,2026-09-24,1
JX1-050,Manufacturing,Misc. consumables,"cable ties, spiral wrap, heat-shrink, drag chain 10×10, thread-locker",,1,Quartz / Robokits,https://robokits.co.in/3d-printer/accessories/cable-drag-chain-wire-carrier-with-end-connectors-10x10mm-1meter,2500,2500,ESTIMATED,In stock,0.2,,,,PLANNED,VERIFIED,2026-09-24,1
